River,Length (km),Drainage area (km^2),Discharge (m^2/s),Mouth,Source,Continent
Amazon,6400,7050000,209000,Atlantic Ocean,Rio Mantaro,South America
Congo,4371,4014500,41200,Atlantic Ocean,Lualaba River,Africa
Yangtze,6418,1808500,30166,East China Sea,Jianggendiru Glacier,Asia
Mississippi,3730,3202230,16792,Gulf of Mexico,Lake Itasca,North America
Zambezi,2574,1331000,3400,Indian Ocean,Miomo Woodlands,Africa
Mekong,4023,811000,16000,South China Sea,Lasagongma Spring,Asia
Murray,2508,1061469,767,Southern Ocean,Australian Alps,Oceania
Rhone,813,98000,1710,Mediterranean Sea,Rhone Glacier,Europe
Cubango,1056,530000,475,Okavango Delta,Bie Plateau,Africa
